name,id,designation,system id,tech/manufacturer,tags,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,breakProb,minPieces,maxPieces,number
Emerald,valk_emerald,Freighter,valk_inferniumdrive,Valkyrian Archon Industries,valk_archon_bp,10,5000,600,3000,,200,55,,45,15,10,15,10,1000,FRONT,,180,0.4,0.8,,,75,100,750,500,2,25,8,50000,2,12,360,0.25,9,9,"CIVILIAN,FREIGHTER",0.6,3,5,
Heron,valk_heron_b,Carrier,targetingfeed,Valkyrian Archon Industries,valk_archon_bp,15,8000,1000,4000,,300,110,2,50,25,20,25,25,1250,FRONT,,180,0.5,0.8,,,200,250,200,250,3,20,9,45000,5,20,420,0.25,16,16,CARRIER,0.6,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eclair,valk_eclair,Destroyer,valk_chargingjets,Valkyrian Archon Industries,valk_archon_bp,10,6000,750,6000,,450,70,,70,60,40,30,30,950,FRONT,,180,0.4,0.8,,,80,120,60,50,3,20,8,35000,5,15,420,0.25,12,12,,0.5,2,5,
Elysium,valk_elysium,Destroyer,valk_burstdrive,Valkyrian Archon Industries,valk_archon_bp,10,5500,800,5000,,350,80,,80,50,30,30,45,850,FRONT,,180,0.4,1,,,80,120,60,25,3,40,9,40000,4,12,420,0.25,10,10,,0.5,2,5,
Elfheim,valk_elfheim,Destroyer,valk_overcharge,Valkyrian Archon Industries,valk_archon_bp,10,4500,500,5000,,300,75,,90,60,40,30,45,750,FRONT,,300,0.4,0.8,,,60,80,65,50,2,20,9,30000,5,10,420,0.25,11,11,,0.5,2,5,
Valkyrie Mk.II,valk_valkyrie_b,Light Carrier,fastmissileracks,Valkyrian Archon Industries,valk_archon_bp,10,3500,400,3250,,225,60,1,60,60,60,20,30,450,OMNI,,120,0.4,0.8,,,60,250,140,120,3,40,10,30000,5,15,420,0.25,8,8,CARRIER,0.5,2,5,
Topaz,valk_topaz,Tanker,valk_inferniumdrive,Valkyrian Archon Industries,valk_archon_bp,8,2500,350,2500,,175,50,,50,30,20,25,15,400,OMNI,,90,0.4,0.8,,,10,20,20,900,2,350,10,20000,2,16,420,0.25,6,6,CIVILIAN,0.5,2,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longinus,valk_longinus,Frigate,ammofeed,Valkyrian Horizon Shipyards,valk_horizon_bp,7,1550,250,2500,,300,55,,125,90,70,60,90,250,FRONT,,180,0.4,1,,,25,50,40,50,1,40,11,9500,10,20,260,0.25,7,7,,0.5,2,4,
Ilena,valk_ilena,Frigate,valk_phaseteleporter,Valkyrian Horizon Shipyards,valk_horizon_bp,12,1000,250,5000,,500,40,,180,180,150,100,120,200,FRONT,,360,0.6,0.6,,,5,15,20,75,2,35,11,50000,10,40,180,0.25,12,12,,0.5,2,4,
Inquisitor,valk_inquisitor,Heavy Frigate,valk_burstdrive,Valkyrian Archon Industries,valk_archon_bp,7,2500,400,3000,,250,45,,90,55,35,45,60,325,FRONT,,220,0.4,0.8,,,25,40,100,75,1,75,9,17500,10,20,280,0.25,5,5,,0.5,2,4,
Jenova,valk_jenova,Frigate,valk_ecm_jammer,Valkyrian Archon Industries,valk_archon_bp,5,1850,300,2550,,155,30,,185,145,115,90,120,250,FRONT,,270,0.4,0.6,,,20,30,30,50,1,40,10,14250,8,24,300,0.25,2,2,,0.5,2,4,
Yuusha,valk_yuusha,Gunboat,valk_overcharge,Valkyrian Horizon Shipyards,valk_horizon_bp,4,1250,225,1500,,150,20,,175,130,110,90,120,200,FRONT,,120,0.4,1,,,10,15,25,50,1,40,10,3000,8,15,280,0.25,4,4,,0.5,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excalibur,valk_excalibur,Escort Fighter,valk_overcharge,Valkyrian Archon Industries,,,1000,250,1000,,250,0,,200,150,125,120,140,150,FRONT,,240,0,1.0,,,2,2,,,,,,,,,,,,,,,,,
Helia,valk_helia,Storm Fighter,,Valkyrian Archon Industries,,,750,200,400,,200,0,,220,160,150,150,150,120,FRONT,,180,0,1,,,2,2,,,,,,,,,,,,,,,,,
Azgard,valk_azgard,Heavy Fighter,,Valkyrian Horizon Shipyards,,,750,150,400,,100,0,,150,125,125,120,180,60,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
Firefly,valk_firefly,Laser Fighter,,Valkyrian Horizon Shipyards,,,400,100,600,,200,0,,180,150,125,80,160,40,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
Lightning,valk_lightning,Blitz Fighter,flarelauncher,Valkyrian Horizon Shipyards,,,550,125,400,,150,0,,240,150,100,120,120,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
Ancord,valk_ancord,Heavy Bomber,flarelauncher,Valkyrian Archon Industries,,,400,75,300,,100,0,,180,150,75,60,80,110,FRONT,,270,0.45,1,,,2,2,,,,,,,,,,,,,,,,,
Sahara,valk_sahara,Bomber,,Valkyrian Horizon Shipyards,,,750,100,300,,100,0,,100,50,100,120,120,60,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
Morgiana,valk_morgiana,Interceptor,,Valkyrian Horizon Shipyards,,,300,50,300,,100,0,,225,150,100,120,240,10,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Sylvia,pirate_base,海盗基地,,,,25,30000,1750,15000,,550,200,,5,5,5,5,5,4500,NONE,,270,0.45,1,,,400,600,1000,750,10,75,7,15500,5,25,,,20,20,,,,,
#秃鹰 Mk.II(Condor Mk.II),condor_mkII,航母,fastmissileracks,,,10,5250,550,2750,1833,150,50,,45,35,25,25,15,550,OMNI,,160,0.4,1,,,65,150,120,100,2.5,40,7,9500,10,20,,,4,4,CARRIER,,,,
#光辉(Radiance),valk_radiance,战舰,valk_inferniumdrive,,,28,18500,1500,22500,,975,240,,20,20,15,4,4,3550,FRONT,,180,0.5,1,,,425,500,400,500,15,33,7,122500,8,20,660,0.5,22,22,,,,,
#梵蒂冈 Mk.II(Vatican Mk.II),valk_vatican_II,重型战巡,fastmissileracks,,,26,15500,1250,21750,,950,415,,35,20,10,5,4,2750,FRONT,,220,0.45,1.2,,,375,500,400,500,15,33,7,85250,6,15,660,0.5,18,18,,,,,
#梵蒂冈 Mk.I(Vatican Mk.I),valk_vatican_I,战巡,ammofeed,,,24,12500,1150,20000,,935,350,,45,15,10,7,5,2250,FRONT,,220,0.45,1.2,,,375,500,400,500,15,33,7,62500,4,15,660,0.5,16,16,,,,,
#极乐天堂 Mk.III(Nirvana Mk.III),valk_nirvana_III,重巡,valk_inferniumdrive,,,20,12000,1500,17500,,850,145,,40,20,15,10,8,1850,FRONT,,220,0.45,1.2,,,275,375,300,350,10,35,7,56000,3,15,540,0.5,12,12,,,,,
#极乐天堂 Mk.II(Nirvana Mk.II),valk_nirvana_II,重巡,valk_inferniumdrive,,,20,11000,1350,15000,,700,135,,45,25,20,12,10,1750,FRONT,,220,0.45,1.2,,,275,375,300,350,10,35,7,47500,2.5,15,540,0.5,10,10,,,,,
#约书亚 Mk.II(Yuusha Mk.II),valk_yuusha_II,炮舰,valk_overcharge,,,6,1450,250,1750,,120,25,,185,145,115,90,120,250,FRONT,,160,0.45,1,,,20,30,30,50,1.25,40,,6500,12,30,320,0.2,4,4,,,,,
#序列(Sequence),valk_sequence,重型航母,guardian_pd_drones,,,16,5500,600,6000,,425,70,,60,55,35,26,22,1200,FRONT,,220,0.35,1,,,125,155,300,275,6,45,7,25500,2,20,420,0.4,8,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
